"subject","group","age","pc","EE","EU","EN","UE","UU","UN","NE","NU","NN"
1,"encoding",22,0.4375,3,5,8,1,8,7,4,6,22
3,"encoding",22,0.546875,7,5,4,8,7,1,11,14,7
5,"encoding",30,0.609375,5,6,5,0,11,5,1,7,24
7,"encoding",29,0.65625,10,1,5,5,5,6,12,4,16
9,"encoding",21,0.65625,10,1,5,3,7,6,6,4,22
11,"encoding",24,0.5,6,3,7,2,5,9,4,10,18
13,"encoding",19,0.65625,6,0,10,4,2,10,3,1,28
15,"encoding",19,0.625,6,1,9,3,3,10,4,1,27
17,"encoding",27,0.640625,11,3,2,9,4,3,18,4,10
19,"encoding",19,0.53125,8,2,6,3,3,10,5,6,21
21,"encoding",19,0.5,5,5,6,4,4,8,7,6,19
23,"encoding",21,0.640625,10,1,5,6,5,5,14,3,15
25,"encoding",22,0.5625,6,4,6,1,5,10,5,0,27
27,"encoding",24,0.46875,9,0,7,3,4,9,4,1,27
29,"encoding",32,0.625,6,4,6,8,1,7,14,1,17
31,"encoding",21,0.4375,6,3,7,2,6,8,3,5,24
33,"encoding",21,0.5,6,1,9,3,2,11,4,1,27
35,"encoding",24,0.703125,5,4,7,3,7,6,3,5,24
37,"encoding",27,0.5,3,6,7,0,8,8,2,5,25
39,"encoding",21,0.734375,10,0,6,4,2,10,3,1,28
41,"encoding",19,0.5,6,4,6,2,4,10,5,4,23
43,"encoding",21,0.609375,9,3,4,9,6,1,9,4,19
45,"encoding",23,0.5625,3,4,9,4,6,6,2,6,24
47,"encoding",22,0.578125,12,1,3,3,9,4,11,5,16
2,"retrieval",22,0.3125,12,1,3,10,2,4,4,0,28
4,"retrieval",24,0.53125,8,3,5,3,3,10,9,2,21
6,"retrieval",19,0.6875,9,1,6,10,2,4,20,2,10
8,"retrieval",22,0.296875,5,7,4,1,11,4,5,10,17
12,"retrieval",24,0.34375,4,6,6,5,10,1,8,8,16
14,"retrieval",20,0.609375,11,4,1,6,4,6,7,3,22
16,"retrieval",20,0.578125,8,2,6,5,3,8,4,1,27
18,"retrieval",22,0.90625,13,0,3,13,0,3,9,0,23
20,"retrieval",20,0.625,10,1,5,13,0,3,7,1,24
22,"retrieval",29,0.625,12,0,4,13,0,3,12,1,19
24,"retrieval",21,0.40625,6,5,5,2,9,5,1,4,27
26,"retrieval",22,0.5625,6,4,6,7,4,5,2,5,25
28,"retrieval",29,0.8125,15,0,1,11,0,5,10,0,22
30,"retrieval",22,0.84375,12,0,4,13,0,3,18,1,13
32,"retrieval",22,0.53125,7,1,8,5,4,7,5,3,24
34,"retrieval",20,0.828125,15,0,1,11,3,2,11,1,20
36,"retrieval",25,0.5,9,2,5,3,8,5,2,3,27
38,"retrieval",25,0.6875,9,2,5,10,2,4,20,4,8
40,"retrieval",18,0.65625,8,1,7,3,5,8,6,4,22
42,"retrieval",22,0.59375,3,0,13,6,0,10,7,0,25
44,"retrieval",21,0.375,10,3,3,0,12,4,4,11,17
46,"retrieval",22,0.796875,8,0,8,9,0,7,8,0,24
48,"retrieval",25,0.703125,9,1,6,11,1,4,14,3,15
110,"retrieval",18,0.78125,9,0,7,10,0,6,13,0,19
